Document Type(Category),Title,Year,Citations(Cited By),DOI(if applicable),Link
Article,Long-Run Impacts of Agricultural Shocks on Educational Attainment: Evidence from the Boll Weevil,2020,14,10.1017/S0022050719000779,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077990756&doi=10.1017%2fS0022050719000779&partnerID=40&md5=97a8127c9e7eb95ff4bfe4fb9be78e1b
Article,Respiratory health and suspected asthma among hired latinx child farmworkers in rural north carolina,2020,9,10.3390/ijerph17217939,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095397291&doi=10.3390%2fijerph17217939&partnerID=40&md5=7bcdf2f578f6f5bbd9f81dbd9350fc84
Article,Work safety culture of Latinx child farmworkers in North Carolina,2020,13,10.1002/ajim.23161,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088988772&doi=10.1002%2fajim.23161&partnerID=40&md5=52b15df36927f8b8ef8d3f2dad3175be
Article,Structural change and the fertility transition,2020,8,10.1162/rest_a_00851,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093869432&doi=10.1162%2frest_a_00851&partnerID=40&md5=d462364d454d29d4b35d21a7a2b45b5e
Article,Quando o Estado de exceção se torna permanente: Reflexões sobre a militarização da segurança pública no Brasil,2020,7,10.11606/0103-2070.ts.2020.158668,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092359065&doi=10.11606%2f0103-2070.ts.2020.158668&partnerID=40&md5=bda6e0ac0299bdcd291950a2522de122
Article,Occupational Injuries of Latinx Child Farmworkers in North Carolina: Associations With Work Safety Culture,2020,6,10.1097/JOM.0000000000001982,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092681966&doi=10.1097%2fJOM.0000000000001982&partnerID=40&md5=dbafa15b62e36b510306bea9e981c699
Article,A protocol for the definition of supply chains in product social life cycle assessment: application to bioelectricity,2020,28,10.1039/d0se00919a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095110163&doi=10.1039%2fd0se00919a&partnerID=40&md5=f44cf99a5e1869ccf8a7c5d9925a5a71
Article,"An analytical study of child labour in the agriculture sector of the rural areas of central Punjab, Pakistan",2020,7,10.4038/SLJSS.V43I1.7730,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092524900&doi=10.4038%2fSLJSS.V43I1.7730&partnerID=40&md5=4cf3e5e33f3d0930a704cbacc99bc579
Article,Imperfect Victims and an Imperfect Protocol: Reflecting on the Trafficking Experiences of Indonesian Migrant Fishermen,2020,8,10.1080/23322705.2020.1691302,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85080993757&doi=10.1080%2f23322705.2020.1691302&partnerID=40&md5=045ae3e05f7a10dd29058940f5fd55c4
Article,"The hydro-logic of genocide: Remaking land, water, and bodies in democratic Kampuchea, 1975–1979",2020,2,10.1111/area.12582,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070974978&doi=10.1111%2farea.12582&partnerID=40&md5=0ba9f4bf01dbf2a446d0ea21e8d83b2e
Article,How managers use culture and controls to impose a ‘996’ work regime in China that constitutes modern slavery,2020,43,10.1111/acfi.12682,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088380791&doi=10.1111%2facfi.12682&partnerID=40&md5=560aacdfb4f685f9fd889d3d8be7c2de
Article,"Migrant workers in an era of religious revival: Industrial capitalism, labour and christianity in Shenzhen",2020,9,10.1017/S0305741019000766,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068371653&doi=10.1017%2fS0305741019000766&partnerID=40&md5=d9df44b48695a8c019c331f2db67a55d
Article,The Urals' economy during the great patriotic war in the newest historiography; [ЭКОНОМИКА УРАЛА В ГОДЫ ВЕЛИКОЙ ОТЕЧЕСТВЕННОЙ ВОЙНЫ В НОВЕЙШЕЙ ИСТОРИОГРАФИИ],2020,0,10.30759/1728-9718-2020-2(67)-116-125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090709036&doi=10.30759%2f1728-9718-2020-2%2867%29-116-125&partnerID=40&md5=f690f44f48ed6194e0ab0d7e1e31783c
Article,"Social determinants of rural secondary school students’ choice of agricultural career and its implication for counseling services: A case of Delta State, Nigeria",2020,0,10.18488/journal.1005/2020.10.1/1005.1.515.527,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090670338&doi=10.18488%2fjournal.1005%2f2020.10.1%2f1005.1.515.527&partnerID=40&md5=a2fdd656d4651976af2af53576ae0f08
Article,Justice and civil liberties on sex work in contemporary international human rights law,2020,7,10.3390/socsci9010004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079422993&doi=10.3390%2fsocsci9010004&partnerID=40&md5=5565ab1c38ed04ef26f2bd73468a4dea
Article,"Friar Roko Romac, Spiritual father of Croats in Australia (1955 - 1970); [Fra Roko Romac, dušobrižnik Hrvata u Australiji 1955.-1970]",2020,0,10.31337/oz.75.3.5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091476822&doi=10.31337%2foz.75.3.5&partnerID=40&md5=edb3b343af6a83d11c357eb69b5b1dd3
Article,Forms of unfree labour in Brazil: Dealing with racism and racialisation in amazonian agriculture,2020,1,10.12681/historein.18612,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090211227&doi=10.12681%2fhistorein.18612&partnerID=40&md5=0316cba560302ca06a7c8474e3a92d77
Article,"Health and occupational injury experienced by latinx child farmworkers in North Carolina, USA",2020,27,10.3390/ijerph17010248,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077626701&doi=10.3390%2fijerph17010248&partnerID=40&md5=8b899ae594d24ab20c33ddb105cbd262
Article,The Soviet peasantry as a resource of mobilization economy: Historical experience and the realities of socialism; [СОВЕТСКОЕ КРЕСТЬЯНСТВО КАК РЕСУРС МОБИЛИЗАЦИОННОЙ ЭКОНОМИКИ: ИСТОРИЧЕСКИЙ ,2020,1,10.30759/1728-9718-2020-1(66)-103-112,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085385483&doi=10.30759%2f1728-9718-2020-1%2866%29-103-112&partnerID=40&md5=ea4c1169f2bf9fee322cfa37a45337dc
Article,Kalmyk red army soldiers in shirokovsky forced labor camp: A statistical survey,2020,7,10.22162/2619-0990-2020-48-2-330-357,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096160865&doi=10.22162%2f2619-0990-2020-48-2-330-357&partnerID=40&md5=0a06f7103425c98050a45961cf73fe87
Article,Forced migration of labor resources (on the example of deportation of germans to Khakassia); [Принудительная миграция трудовых ресурсов (на примере депортации немцев в Хакасию)],2020,0,10.34739/his.2020.09.09,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106347653&doi=10.34739%2fhis.2020.09.09&partnerID=40&md5=3f7a81f02f4670205d48ab7f7b40d83e
Article,Modern slavery statements: From regulation to substantive supply chain reporting,2021,42,,https://www.sciencedirect.com/science/article/pii/S0959652621020904
Article,Modern slavery in business: The sad and sorry state of a non-field,2021,170,,https://journals.sagepub.com/doi/pdf/10.1177/0007650320930417
Article,… Fair Labor Standards Act Violates the International Labour Organization's ILO Convention No. 182 in Failing to Provide Protections for Children Working in Agriculture,2021,1,,https://digitalcommons.wcl.american.edu/cgi/viewcontent.cgi?article=1052&context=stu_upperlevel_papers
Article,"Socio-economic factors behind the prevalence of child labor in agriculture sector of district Lasbela, Balochistan, Pakistan",2021,2,,http://www.pjia.com.pk/index.php/pjia/article/download/215/160
Article,Investigation of Seasonal Female and Child Labor Use in Cotton Agriculture: The Case of Mardin Province,2021,0,,https://dergipark.org.tr/en/download/article-file/2442943
Article,Understanding the manufacturing plant of Foxconn: Global visions and local practices in the labor regime of China,2021,3,,https://www.researchgate.net/profile/Bin-Jiang-14/publication/349430171_Understanding_the_Manufacturing_Plant_of_Foxconn_Global_Visions_and_Local_Practices_in_the_Labor_Regime_of_China/links/603638a292851c4ed591849b/Understanding-the-Manufacturing-Plant-o
Article,The network contract: an instrument to contrast labour exploitation in agriculture. The Italian case,2021,3,,https://iris.unito.it/bitstream/2318/1827601/1/13566-Article%20Text-52952-1-10-20211221.pdf
Article,What are the Risks to Minors who Work in the Construction Industry?,2021,2,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10141679/
Article,"Pandemic, lockdown and modern slavery among Sri Lanka's global assembly line workers",2021,20,,https://vc.bridgew.edu/cgi/viewcontent.cgi?article=2359&context=jiws
Article,International Construction Law: The Development of the Business and Human Rights Treaty and its Implications on Migrant Workers,2021,0,,https://georgia-international-journal.scholasticahq.com/article/35565.pdf
Article,Social Issues in Supply Chain Sustainability–Focus Areas for Energy and Manufacturing sectors in India and USA,2021,5,,http://ecsdev.org/ojs/index.php/ejsd/article/download/1186/1169
Article,A Study of Discourse Strategies of Counter-Ideology Construction by Global Times Editorials in Response to the US-Western Actions on Human Rights …,2021,0,,
Article,"David Moon, The American Steppes: The Unexpected Russian Roots of Great Plains Agriculture, 1870s-1930s",2021,0,,https://pubs.lib.uiowa.edu/annals-of-iowa/article/id/31483/download/pdf/
Article,Consuming worker exploitation? Accounts and justifications for consumer (in) action to modern slavery,2021,25,,https://eprints.gla.ac.uk/220205/2/220205.pdf
Article,"'Feeding the Horses': Modern Slavery, the Dark Side of Construction Hidden in Plain Sight in Ambridge",2021,0,,
Article,The Plantationocene: A lusotropical contribution to the theory,2021,214,,https://www.tandfonline.com/doi/pdf/10.1080/24694452.2020.1850231
Article,The impact of anti‐sweatshop activism on employment,2021,10,,https://onlinelibrary.wiley.com/doi/pdf/10.1111/rode.12750
Article,The legitimization of the use of sweat shops by H&M in the Swedish press,2021,7,,
Article,India’s Labour Agreements with the Gulf Cooperation Council Countries: An Assessment,2021,2,10.1177/00208817211055344,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138725559&doi=10.1177%2f00208817211055344&partnerID=40&md5=461b15a1caaa10011e4e02cec137e5ad
Article,Los Angeles Apparel: Locally Made in a Global Market,2021,0,10.1177/2515127420982511,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134353868&doi=10.1177%2f2515127420982511&partnerID=40&md5=5ac3a2194b290a7d0c59e9c7c9739516
Article,MONUMENT TO EMPEROR ALEXANDER II IN ZLATOUST: A CASE OF PROVINCIAL COMMEMORATION IN PRE-REVOLUTIONARY RUSSIA,2021,0,10.17072/2219-3111-2021-4-28-38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124466965&doi=10.17072%2f2219-3111-2021-4-28-38&partnerID=40&md5=2fc347904959573899dccb1ba894eebf
Article,Bordering the surplus population across the Mediterranean: Imperialism and unfree labour in Libya and the Italian countryside,2021,16,10.1016/j.geoforum.2020.06.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087906807&doi=10.1016%2fj.geoforum.2020.06.019&partnerID=40&md5=29c606cb471c3cb0ca8bfd691ab34c8f
Article,Commentary: Agricultural racial capitalism and rural migrant workers,2021,19,10.1016/j.jrurstud.2021.07.006,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110478335&doi=10.1016%2fj.jrurstud.2021.07.006&partnerID=40&md5=63aa4a458eac3d1929e4f89ba2ba3ab9
Article,"‘If you don't migrate, you're a nobody’: Migration recruitment networks and experiences of Nepalese farm workers in Portugal",2021,16,10.1016/j.jrurstud.2021.04.019,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106234505&doi=10.1016%2fj.jrurstud.2021.04.019&partnerID=40&md5=53bb80c3d31ac90bff956aff5c36d5ce
Article,Socially Sustainable Supply Chain Management and Suppliers’ Social Performance: The Role of Social Capital,2021,75,10.1007/s10551-020-04525-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085102513&doi=10.1007%2fs10551-020-04525-1&partnerID=40&md5=35fb70cb004b469f0eda676eb644efc8
Article,Modern slavery footprints in global supply chains,2021,16,10.1111/jiec.13169,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110587365&doi=10.1111%2fjiec.13169&partnerID=40&md5=8a6b3d3334f5382ec6bf3d05f23fa942
Article,Self-reported physical demands associated with crops and job tasks among Latinx hired child farmworkers,2021,2,10.1097/JOM.0000000000002322,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120973663&doi=10.1097%2fJOM.0000000000002322&partnerID=40&md5=60243aca732d8288f923d7065450569f
Article,Child labor in family tobacco farms in southern brazil: Occupational exposure and related health problems,2021,3,10.3390/ijerph182212255,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119408839&doi=10.3390%2fijerph182212255&partnerID=40&md5=83e227c0a77459b658d01b282a431c9c
Article,Ostarbeiters of the Belarusian-Russian border: living and working conditions in Germany and the Baltic States,2021,0,10.31166/VoprosyIstorii202111Statyi02,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126290551&doi=10.31166%2fVoprosyIstorii202111Statyi02&partnerID=40&md5=d858d54966d89f10329110f9c1955808
Article,The Effects of Immigration on Labour Tax Avoidance: An Empirical Spatial Analysis,2021,3,10.1007/s10551-019-04393-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077087686&doi=10.1007%2fs10551-019-04393-4&partnerID=40&md5=f484f3e4ad0163a7cb6ecee921166250
Article,Defense production activities of the GULAG NKVD USSR in 1941-1945. In the materials of the state defense committee,2021,0,10.31166/VoprosyIstorii202105Statyi56,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109037820&doi=10.31166%2fVoprosyIstorii202105Statyi56&partnerID=40&md5=1eea3f3d680ce09e8a34e4a052ea5f71
Article,A Four-year Analysis of Labor Trafficking Cases in the United States: Exploring Characteristics and Labor Trafficking Patterns,2021,20,10.1080/23322705.2019.1638148,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070519582&doi=10.1080%2f23322705.2019.1638148&partnerID=40&md5=52ac335937caed6d22d29342fec88658
Article,Children’s migration to brick kilns in Nepal: a review of educational interventions and stakeholder responses to child labour,2021,3,10.1080/17450128.2020.1867334,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098550792&doi=10.1080%2f17450128.2020.1867334&partnerID=40&md5=d65d72a1e3f1eefc762191dc85561049
Article,"Revisiting the ""cosel period"": A fresh perspective on the stopping of western deportation trains en route to auschwitz, 1942–1943",2021,0,10.1353/SHO.2021.0023,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116073197&doi=10.1353%2fSHO.2021.0023&partnerID=40&md5=afbaa112afc215dd00e4942b30b4f776
Article,Postcolonial frameworks with survivors’ voices: Teaching about contemporary and historical forms of slavery and forced labour,2021,0,10.14197/atr.201221175,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115711430&doi=10.14197%2fatr.201221175&partnerID=40&md5=343ab3ca16b20642108980f23f471bfc
Article,"‘After me, all this is over’: Exploring class-entangled geographical agency in a shifting climate among tobacco farmers in South India",2021,4,10.1111/area.12693,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099952623&doi=10.1111%2farea.12693&partnerID=40&md5=b794857fe2eaf408ca0ca024da3a15a7
Article,Compliance with the global reporting initiative standards in Jordan: case study of hikma pharmaceuticals,2021,3,10.1080/19397038.2021.1970273,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113942701&doi=10.1080%2f19397038.2021.1970273&partnerID=40&md5=02de9b6294e209194b410bd1b353687e
Article,Musculoskeletal injury symptoms among hired Latinx child farmworkers in North Carolina,2021,7,10.1002/ajim.23255,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105956339&doi=10.1002%2fajim.23255&partnerID=40&md5=3b26d10b33c9407fdd53546fe36fc6a1
Article,Role of Child Labor in Agriculture Sector of District Mardan (Pakistan): A Multinomial Logistic Regression Analysis,2021,2,10.17582/JOURNAL.SJA/2021/37.2.428.435,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105799490&doi=10.17582%2fJOURNAL.SJA%2f2021%2f37.2.428.435&partnerID=40&md5=b078b1b4f8ab59cf9a489c2a582da65b
Article,Why do they JUST DO IT? A Theory of Outsourcing and Working Conditions,2021,0,10.1007/s11079-020-09609-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099235144&doi=10.1007%2fs11079-020-09609-z&partnerID=40&md5=fb3d8f47059961bd97eb3d897afc89ae
Article,"Labor Mobilization of Population from Central Asia during World War II: Conscription, Dislocation, and Conditions of Life and Work (on examples from the Kazakh SSR)",2021,0,10.1080/13518046.2022.2040845,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128961805&doi=10.1080%2f13518046.2022.2040845&partnerID=40&md5=6006d5a342fcb5d1783db882e83209d1
Article,"A green new deal for agriculture: for, within, or against capitalism?",2021,21,10.1080/03066150.2020.1854740,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100074808&doi=10.1080%2f03066150.2020.1854740&partnerID=40&md5=bc6d0f9deb9b471da7d50887e2b0c313
Article,Child Labour and Trade-Related Price Policies in a Developing Economy: A Trade-Theoretical Analysis,2021,0,10.1007/s41027-021-00337-7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114769878&doi=10.1007%2fs41027-021-00337-7&partnerID=40&md5=a034ea6303e3ad003bf81e4a8c38c935
Article,Debt bondage in human trafficking: US agriculture and Thailand fisheries primed for labour exploitation; [Niewola za długi: rolnictwo Stanów Zjednoczonych i rybołówstwo Tajlandii gotowe na pracę przymusową],2021,3,10.7420/AK2021.11,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85172471133&doi=10.7420%2fAK2021.11&partnerID=40&md5=7a1bd86b5bc0c57765092070222c4cfe
Article,Risk of forced labour embedded in the US fruit and vegetable supply,2021,20,10.1038/s43016-021-00339-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113376087&doi=10.1038%2fs43016-021-00339-0&partnerID=40&md5=2880713818505611dcdc4228f558756d
Article,The UK construction and facilities management sector's response to the Modern Slavery Act: An intra-industry initiative against modern slavery,2021,21,10.1002/bsd2.158,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096996223&doi=10.1002%2fbsd2.158&partnerID=40&md5=7943ccf49b474fb8a653b245e8a2f8c9
Article,Human trafficking and violence: Findings from the largest global dataset of trafficking survivors,2021,13,10.1016/j.jmh.2021.100073,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125144756&doi=10.1016%2fj.jmh.2021.100073&partnerID=40&md5=dcf905fc8861535fa58371cde8021b92
Article,SOCIAL PECULIARITIES OF THE FAMILY PLANNING PROBLEM IN TROPICAL AFRICA,2021,0,10.31857/S086919080016080-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124725786&doi=10.31857%2fS086919080016080-5&partnerID=40&md5=b05d675046a16dcea922304e6c28546c
Article,"Assessment of ergonomic exposure, work-related occupational injuries, and prevention: Child work in the brickfield industry in India.",2021,4,10.1177/07482337211025366,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108380332&doi=10.1177%2f07482337211025366&partnerID=40&md5=a5d77f8324e20bda39669e2df1ee55b3
Article,"Anti-communism, labour exploitation, and racism at the thermoelectric plant of the world’s largest copper mine (Tocopilla, Chile, 1948-1958)",2021,3,10.1080/0023656X.2021.1925639,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106245268&doi=10.1080%2f0023656X.2021.1925639&partnerID=40&md5=f3ef718cd872965109939a1ca23e6e1c
Article,Work-related injuries among Syrian refugee child workers in the Bekaa Valley of Lebanon: A gender-sensitive analysis,2021,9,10.1371/journal.pone.0257330,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115438809&doi=10.1371%2fjournal.pone.0257330&partnerID=40&md5=d20d698a94e5a4ff0b135d082d858f57
Article,Foreign minors and forced labour in contemporary Italy; [Małoletni cudzoziemcy i praca przymusowa we współczesnych Włoszech],2021,0,10.7420/AK2021.12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177083904&doi=10.7420%2fAK2021.12&partnerID=40&md5=70f83b849666273838911f8e56850e96
Article,"Farm-Related Injuries and Fatalities Involving Children, Youth, and Young Workers during Manure Storage, Handling, and Transport",2021,11,10.1080/1059924X.2020.1795034,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088563433&doi=10.1080%2f1059924X.2020.1795034&partnerID=40&md5=2296872eb91f6eee803210caaa7b7412
Article,Technology for Social Good Foundations: A Perspective from the Smallholder Farmer in Sustainable Supply Chains,2021,64,10.1109/TEM.2020.2996003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092555793&doi=10.1109%2fTEM.2020.2996003&partnerID=40&md5=40563a85931048344a7e5745ac7a8290
Article,Breaking the child labour cycle through education: issues and impacts of the COVID-19 pandemic on children of in-country seasonal migrant workers in the brick kilns of Nepal,2021,5,10.1080/14733285.2021.1891406,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101816838&doi=10.1080%2f14733285.2021.1891406&partnerID=40&md5=88a50190d7450c26856ac87aa38f62ef
Article,Structural Vulnerability and Occupational Injury Among Latinx Child Farmworkers in North Carolina,2021,11,10.1177/10482911211017556,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105964969&doi=10.1177%2f10482911211017556&partnerID=40&md5=904f67d06201319e31f1b912b5a821ed
Article,The Gender and Racial Construction of the Working Class: Temporary Mobility of Mexican Women Workers to the US and Canada,2021,7,10.1007/s12147-020-09258-z,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085294279&doi=10.1007%2fs12147-020-09258-z&partnerID=40&md5=05306a5debb34bcb67092f47fd509c2f
Article,"Between Violence, Racism and Reform: São Tomé e Príncipe in the Great Depression Years, 1930–7",2021,2,10.1177/0022009420961456,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097564173&doi=10.1177%2f0022009420961456&partnerID=40&md5=0c8ab9f68e9e292d9a9582026d25e755
Article,A multidimensional perspective on child labor in the value chain: The case of the cocoa value chain in West Africa,2021,21,10.1016/j.worlddev.2021.105601,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112123522&doi=10.1016%2fj.worlddev.2021.105601&partnerID=40&md5=4a0a88e5242faeb7a470339dddd106e6
Article,The visual strategies of struggle: domestic workers in hybrid filmic forms of confronting reality in Spain (2000-2020); [Las estrategias visuales de la lucha: trabajadoras de la limpieza y del hogar en las formas fílmicas híbridas de enfrentar lo real e,2021,0,10.7764/cdi.50.27729,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128158743&doi=10.7764%2fcdi.50.27729&partnerID=40&md5=d3768b3522f933cf1f3c1ad756c64669
Article,Pesticide exposure among Latinx child farmworkers in North Carolina,2021,8,10.1002/ajim.23258,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106420668&doi=10.1002%2fajim.23258&partnerID=40&md5=362b39c2583c36f58a2b02ce4aae3a38
Article,"Taxation, Forced Labor, and Theft: Why Taxation is “On a Par” with Forced Labor",2021,1,10.1111/sjp.12395,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096832832&doi=10.1111%2fsjp.12395&partnerID=40&md5=4d8996052c1573fdc79672ae1c9ed09f
Article,New perspectives on the agriculture–migration nexus,2021,38,10.1016/j.jrurstud.2021.05.004,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106270729&doi=10.1016%2fj.jrurstud.2021.05.004&partnerID=40&md5=26293e6e58825f7fbfaf99bb4f7b7af4
Article,"Structure and dynamics of free and unfree labor in road infrastructure in the Brazil Empire: liberated africans, slaves and free (1854-1856); [ESTRUTURA E DINÂMICA DO TRABALHO COMPULSÓRIO E LIVRE NA INFRAESTRUTURA VIÁRIA DO IMPÉRIO DO BRASIL: africano",2021,0,10.1590/1980-4369E2021060,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123109038&doi=10.1590%2f1980-4369E2021060&partnerID=40&md5=c10386ebcb7b49981e9100cbf1fb59be
Article,Modern slavery and the employment relationship: Exploring the continuum of exploitation,2022,32,,https://www.researchgate.net/profile/Martijn-Boersma/publication/358080674_Modern_slavery_and_the_employment_relationship_Exploring_the_continuum_of_exploitation/links/63eab5b04dcb750da7571969/Modern-slavery-and-the-employment-relationship-Exploring-the-c
Article,Addressing forced labor in supply chains in California,2022,8,,https://www.sciencedirect.com/science/article/pii/S2590198222001956
Article,Reconceptualising responses to the UK's 2015 Modern Slavery Act: a construction industry case study,2022,0,,https://research-information.bris.ac.uk/ws/portalfiles/portal/348089232/Christopher_Pesterfield_PhD_thesis_2022.pdf
Article,Impact of Economic Globalization on Agriculture in Asian Developing Countries,2022,0,,https://www.researchgate.net/profile/Budi-Setiawan-19/publication/369553391_The_Relationship_Between_Business_and_Politics_A_Study_of_Rent-Seeking_in_Indonesia/links/6421e47aa1b72772e42f703a/The-Relationship-Between-Business-and-Politics-A-Study-of-Rent-S
Article,Sustainable procurement and modern slavery risks in development and construction: a case study in Australia,2022,0,,
Article,Ethical recruitment and employment in the construction industry in India: Perspectives and experiences of workers and micro-contractors,2022,1,,https://knowledgecommons.popcouncil.org/cgi/viewcontent.cgi?article=2795&context=departments_sbsr-pgy
Article,Developing a framework for assessing the readiness of entities in the construction industry in addressing modern slavery,2022,9,10.1016/j.spc.2022.02.003,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125115155&doi=10.1016%2fj.spc.2022.02.003&partnerID=40&md5=6b3ffd58802fb482ec62e76cbc7a3792
Article,How sustainable are the biodegradable medical gowns via environmental and social life cycle assessment?,2022,7,10.1016/j.jclepro.2022.135153,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142171662&doi=10.1016%2fj.jclepro.2022.135153&partnerID=40&md5=25422105352f685b8728b7c442c1b5f0
Article,Posting of workers in the European Union: an exploitative labour system,2022,1,10.1017/elo.2022.38,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160221032&doi=10.1017%2felo.2022.38&partnerID=40&md5=1dc63273f1dda1a83324b06216d20433
Article,Korean “collective farms” in Manchukuo (1932-1945),2022,0,10.22394/2500-1809-2022-7-4-33-46,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148521858&doi=10.22394%2f2500-1809-2022-7-4-33-46&partnerID=40&md5=317f0bde0f9acbb759447ae69054b195
Article,"""EVERYTHING CHANGES, EVERYTHING STAYS THE SAME"". THE GOVERNANCE OF MIGRANT LABOR IN SPANISH AND ITALIAN AGRICULTURE IN THE FIRST YEAR OF THE COVID-19 PANDEMIC; [""Todo cambia, todo sigue igual"". La gobernanza de la mano de obra migrante en la agricultura e",2022,4,10.3989/estgeogr.2022120.120,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132174542&doi=10.3989%2festgeogr.2022120.120&partnerID=40&md5=32d1bf02ca876bcb04d0aed3d180df60
Article,Contested futures: The ‘humanitarian value’ of childhood in rural Sierra Leone,2022,2,10.1177/0011392120985867,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101246826&doi=10.1177%2f0011392120985867&partnerID=40&md5=155b23892b67a822f4868fb033fd47b3
Article,"Acceptance, obedience and resistance: Children's perceptions of street trading in Nigeria",2022,2,10.1111/chso.12482,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109355936&doi=10.1111%2fchso.12482&partnerID=40&md5=81aea9438a92c95fafdb0bcf9aaa5b1d
Article,Bad for business: the construction of modern slavery and the reconfiguration of sovereignty,2022,2,10.1093/lril/lrac001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132767592&doi=10.1093%2flril%2flrac001&partnerID=40&md5=28196c30a4733c4d8aee74678fcc6043
Article,The outlook for modern slavery in the apparel sector in a post-lockdown economy,2022,24,10.1108/SCM-06-2020-0245,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107799759&doi=10.1108%2fSCM-06-2020-0245&partnerID=40&md5=9512dc2e61e441379725acdab1de4612
Article,India’s hand-knotted carpet industry in reforms era: export performances and challenges,2022,1,10.1504/IJBG.2022.124521,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135752702&doi=10.1504%2fIJBG.2022.124521&partnerID=40&md5=26f7cd8776f07c1ea23bd87689e8c3ab
